Code,Year,Total Assets,Net Assets,Shareholders' Equity,Retained Earnings,Short-Term Loans,Long-Term Loans,BPS,Equity Ratio,Sales,Operating Profit,Ordinary Profit,Net Profit,EPS,ROE,ROA
6104,2022/03,166989000000,83515000000,76075000000,68374000000,10917000000,3300000000,3457.55,50,107777000000,4236000000,4544000000,3725000000,154.23,4.46,2.23
6111,2022/03,20140639000,13560537000,12405799000,6026836000,1700000000,-,5448.11,67.3,12919769000,423122000,474906000,504086000,207.64,3.72,2.5
6113,2022/03,614439000000,484034000000,479788000000,269067000000,4822000000,2244000000,1380.05,78.1,312658000000,38538000000,-,27769000000,79.87,5.79,4.52
6118,2022/03,113933000000,78664000000,70927000000,55511000000,1094000000,1500000000,1304.87,68.4,62466000000,2505000000,2432000000,896000000,15.01,1.15,0.79
6121,2022/03,41546278000,21765060000,16422838000,12746806000,3265695000,3000671000,2697.94,41.6,26482620000,678616000,852028000,373804000,57.34,2.16,0.9
6125,2022/03,47507000000,20331000000,19598000000,15321000000,3040000000,765000000,4470.86,42.8,37547000000,4081000000,4197000000,2892000000,688.57,14.23,6.09
6131,2022/03,7484415000,2079832000,1868573000,1070207000,159713000,197280000,635.41,27.8,6475127000,527309000,509789000,571075000,171.94,27.46,7.63
6134,2022/03,243310000000,208782000000,196600000000,185301000000,-,-,2163.55,85.8,148128000000,28472000000,29943000000,21188000000,219.7,10.15,8.71
6135,2022/03,325579000000,178778000000,155716000000,101513000000,-,23800000000,7432.97,54.6,186591000000,11300000000,14274000000,12042000000,499.2,6.77,3.7
6136,2022/11,228852000000,176838000000,152768000000,132320000000,677000000,18873000000,1721.12,72,142525000000,21898000000,23648000000,16534000000,171.53,10.04,7.22
6137,2022/03,59935000000,33693000000,26394000000,20847000000,4432000000,1721000000,7385.92,51.4,41834000000,1690000000,2063000000,995000000,239.18,3.23,1.66
6138,2022/03,16079703000,7178859000,6504844000,1748799000,2386635000,2646522000,2415.59,44.6,8067127000,10054000,19895000,64765000,21.79,0.9,0.4
6140,2022/03,72241000000,60869000000,56263000000,45166000000,210000000,-,1067.77,82.1,37161000000,2811000000,3650000000,3288000000,59.22,5.55,4.55
6141,2022/12,680334000000,250374000000,245897000000,69864000000,51241000000,39852000000,1959.63,36.1,483366000000,41213000000,-,25406000000,202.71,10.33,3.73
6142,2022/02,26908600000,22260036000,19892811000,13890681000,388923000,128866000,5550.62,73.8,20100636000,359630000,823803000,665721000,183.24,3.35,2.47
6143,2022/12,138433000000,80993000000,70909000000,40312000000,1840000000,20761000000,1548.26,58.5,80495000000,5813000000,8275000000,6021000000,112.65,7.44,4.35
6144,2022/03,43252000000,27319000000,20422000000,15211000000,416000000,-,1809.55,63.2,26323000000,2724000000,2827000000,1942000000,128.64,7.11,4.49
6145,2022/03,47340000000,33919000000,30447000000,21054000000,-,-,1862.67,71.1,28121000000,2885000000,3030000000,2308000000,127.75,6.86,4.88
6146,2022/03,404540000000,293812000000,287648000000,242475000000,-,-,2702.97,72.3,253781000000,91513000000,92449000000,66206000000,611.67,22.62,16.37
6147,2022/03,4143177000,1602586000,1526748000,-113594000,1270000000,518321000,361.17,38.7,2633770000,-239834000,-222399000,-144642000,-32.6,-,-
6149,2022/12,24015225000,14169862000,14168264000,12049806000,3000000000,-,2495.23,59,14086914000,967252000,1118115000,801534000,141.22,5.66,3.34
6150,2022/05,6739336000,4318523000,4319257000,2570095000,400000000,346335000,4696.05,64.1,4444438000,373459000,409016000,260928000,283.73,6.04,3.87
6151,2022/03,64268000000,55663000000,54933000000,54052000000,-,-,2743.08,86.6,25281000000,3253000000,3413000000,1860000000,91.68,3.34,2.89
6155,2022/03,25363000000,16301000000,15794000000,12340000000,690000000,285000000,1506.56,64.3,16720000000,1093000000,1180000000,795000000,73.01,4.88,3.13
6156,2022/06,9479485000,8688953000,8649428000,8567962000,-,-,1733.79,91.7,1868061000,433071000,444456000,310445000,63.24,3.57,3.27
6157,2022/03,17874187000,16165964000,15944625000,15271863000,-,-,640.58,89.2,9524936000,2111555000,2156439000,1522553000,60.89,9.55,8.52
6158,2022/03,11921512000,8794809000,8642594000,7301563000,250000000,665845000,1351.01,73.1,6485168000,981067000,1042451000,694096000,107.62,7.96,5.82
6159,2022/08,14728471000,13260892000,12579416000,12754976000,-,-,2206.64,89.8,5201750000,377238000,1818911000,1226194000,204.09,9.27,8.33
6161,2022/03,8375108000,7280329000,7129964000,7384660000,-,-,726.38,86.1,5754200000,1120450000,1197622000,820228000,82.67,11.38,9.79
6164,2022/12,8258070000,6826120000,6826120000,5688017000,-,-,1162.51,82.7,9041674000,621772000,624444000,440320000,75.12,6.45,5.33
6165,2022/03,28774000000,16307000000,14378256000,9057592000,1774655000,907890000,737.39,56.5,39358000000,3041601000,3007000000,2040000000,93.33,12.54,7.09
6166,2022/03,5874355000,840036000,843749000,195664000,148651000,2444088000,74.98,14.1,4038389000,311550000,338330000,-257117000,-23.97,-,-
6167,2022/03,25380000000,19303000000,18999000000,18964000000,31000000,-,974.85,76.1,16874000000,1113000000,1202000000,790000000,39.9,4.09,3.11
6171,2022/12,7013275000,4573096000,4563494000,2203853000,-,707615000,321.82,65.2,6998770000,532123000,563038000,349821000,24.62,7.65,4.99
6172,2022/12,28112000000,9280000000,8741000000,-2609000000,1000000000,1362000000,636.64,31.1,5905000000,-1858000000,-,-1592000000,-115.95,-,-
6173,2022/02,2086277000,410672000,-33672000,-561878000,40000000,449780000,-15.76,-1.6,5239212000,-544484000,-561294000,-594732000,-297.86,-,-
6175,2022/06,6096650000,3267551000,3267551000,2430808000,-,-,217.48,53.6,5168133000,404196000,426850000,326372000,21.82,9.99,5.35
6176,2022/09,2571974000,1616202000,1612087000,462948000,331111000,135000000,116.1,62.8,3360436000,255925000,258253000,178578000,12.83,11.05,6.94
6177,2022/12,276741000,149585000,141424000,-766418000,-,9990000,16.74,51.1,388695000,-277018000,-280170000,-288898000,-35.96,-,-
6178,2022/03,303846980000000,14688981000000,11000681000000,6138069000000,-,-,3361.06,4.1,11264774000000,-,991464000000,501685000000,131.93,4.08,0.17
6180,2022/12,4984266000,2090591000,2083681000,558119000,-,-,1209.54,41.8,5587760000,310336000,307421000,183029000,106.85,8.79,3.67
6181,2022/03,5332441000,237323000,237323000,-946816000,880432000,2765734000,9.5,4.5,5574181000,-153359000,-218900000,-320791000,-15.28,-,-
6182,2022/02,4908021000,1098666000,1057519000,-1482498000,100000000,1055530000,99.23,21.6,4159109000,91940000,-45752000,-1238785000,-116.24,-,-
6183,2022/02,178312000000,59489000000,58986000000,28783000000,37481000000,21971000000,801.93,33.1,146479000000,13234000000,-,8943000000,121.63,15.16,5.02
